PLAYER,CONFERENCE,SEASON
Penny Hardaway,EAST,1997
Michael Jordan,EAST,1997
Scottie Pippen,EAST,1997
Grant Hill,EAST,1997
Patrick EwingINJ,EAST,1997
Vin Baker,EAST,1997
Terrell Brandon,EAST,1997
Joe DumarsREP,EAST,1997
Tim Hardaway,EAST,1997
Christian Laettner,EAST,1997
Alonzo MourningINJ,EAST,1997
Dikembe Mutombo,EAST,1997
Glen Rice,EAST,1997
Chris WebberREP,EAST,1997
Gary Payton,WEST,1997
John Stockton,WEST,1997
Charles BarkleyINJ,WEST,1997
Shawn Kemp,WEST,1997
Hakeem Olajuwon,WEST,1997
Clyde DrexlerINJ,WEST,1997
Kevin GarnettREP,WEST,1997
Chris GatlingREP,WEST,1997
Tom Gugliotta,WEST,1997
Eddie Jones,WEST,1997
Karl Malone,WEST,1997
Shaquille O'NealINJ,WEST,1997
Mitch Richmond,WEST,1997
Detlef SchrempfREP,WEST,1997
Latrell Sprewell,WEST,1997
Gary Payton,EAST,1998
Kobe Bryant,EAST,1998
Kevin Garnett,EAST,1998
Karl Malone,EAST,1998
Shaquille O'Neal,EAST,1998
Jason Kidd,EAST,1998
Eddie Jones,EAST,1998
Nick Van Exel,EAST,1998
Mitch Richmond,EAST,1998
Tim Duncan,EAST,1998
Vin Baker,EAST,1998
David Robinson,EAST,1998
Penny Hardaway,WEST,1998
Michael Jordan,WEST,1998
Grant Hill,WEST,1998
Shawn Kemp,WEST,1998
Dikembe Mutombo,WEST,1998
Tim Hardaway,WEST,1998
Reggie Miller,WEST,1998
Steve Smith,WEST,1998
Glen Rice,WEST,1998
Antoine Walker,WEST,1998
Jayson Williams,WEST,1998
Rik Smits,WEST,1998
Jason Kidd,EAST,2000
Kobe Bryant,EAST,2000
Kevin Garnett,EAST,2000
Tim Duncan,EAST,2000
Shaquille O'Neal,EAST,2000
Michael Finley,EAST,2000
Gary Payton,EAST,2000
John Stockton,EAST,2000
Karl Malone,EAST,2000
Rasheed Wallace,EAST,2000
Chris Webber,EAST,2000
David Robinson,EAST,2000
Allen Iverson,WEST,2000
Eddie Jones,WEST,2000
Vince Carter,WEST,2000
Grant Hill,WEST,2000
Alonzo Mourning,WEST,2000
Ray Allen,WEST,2000
Allan Houston,WEST,2000
Reggie Miller,WEST,2000
Jerry Stackhouse,WEST,2000
Dale Davis,WEST,2000
Glenn Robinson,WEST,2000
Dikembe Mutombo,WEST,2000
Allen Iverson,EAST,2001
Tracy McGrady,EAST,2001
Vince Carter,EAST,2001
Grant HillINJ,EAST,2001
Alonzo MourningINJ,EAST,2001
Ray Allen,EAST,2001
Allan Houston,EAST,2001
Stephon Marbury,EAST,2001
Jerry Stackhouse,EAST,2001
Anthony Mason1,EAST,2001
Glenn Robinson,EAST,2001
Latrell SprewellREP,EAST,2001
Antonio DavisREP1,EAST,2001
Dikembe MutomboREP,EAST,2001
Theo RatliffINJ,EAST,2001
Jason Kidd,WEST,2001
Kobe Bryant,WEST,2001
Chris Webber,WEST,2001
Tim Duncan,WEST,2001
Shaquille O'NealINJ,WEST,2001
Michael Finley,WEST,2001
Gary Payton,WEST,2001
Kevin Garnett1,WEST,2001
Karl Malone,WEST,2001
Antonio McDyess,WEST,2001
Rasheed Wallace,WEST,2001
David Robinson,WEST,2001
Vlade DivacREP,WEST,2001
