Rk,Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
1,Bo Kimble,1131,LAC,1,8,1990,Loyola Marymount,1989-90,Loyola Marymount,32,32,32.9,12.6,23.8,9.8,17.6,2.9,6.3,7.2,8.4,3.1,4.6,7.7,1.9,2.9,0.7,2.4,3.0,35.3,.529,.554,.460,.862,.635,.590,G,SR,bo-kimble-1
2,Hersey Hawkins Jr,1125,LAC,1,6,1988,Bradley,1987-88,Bradley,31,31,38.8,12.2,23.2,9.4,16.1,2.8,7.1,9.2,10.8,,,7.8,3.6,2.6,0.8,2.1,2.5,36.3,.524,.581,.394,.848,.640,.584,G,SR,hersey-hawkins-1
3,Jimmer Fredette,1068,MIL,1,10,2011,Brigham Young,2010-11,Brigham Young,37,37,35.8,9.4,20.7,6.0,12.2,3.4,8.5,6.8,7.6,0.6,2.8,3.4,4.3,1.3,0.0,3.5,1.3,28.9,.452,.491,.396,.894,.594,.533,G,SR,jimmer-fredette-1
4,Glenn Robinson,1030,MIL,1,1,1994,Purdue,1993-94,Purdue,34,34,34.3,10.8,22.4,8.5,16.3,2.3,6.1,6.3,7.9,3.0,7.1,10.1,1.9,1.6,0.9,4.1,2.6,30.3,.483,.522,.380,.796,.578,.535,F,JR,glenn-robinson-1
5,Stephen Curry,974,GSW,1,7,2009,Davidson,2008-09,Davidson,34,34,33.7,9.2,20.2,5.4,10.3,3.8,9.9,6.5,7.4,0.6,3.8,4.4,5.6,2.5,0.2,3.7,2.4,28.6,.454,.519,.387,.876,.604,.549,G,JR,stephen-curry-1
6,Dennis Scott,970,ORL,1,4,1990,Georgia Tech,1989-90,Georgia Tech,35,35,39.1,9.6,20.6,5.7,11.2,3.9,9.5,4.6,5.8,,,6.6,2.0,1.8,0.9,2.6,2.1,27.7,.465,.509,.414,.793,.593,.560,F,JR,dennis-scott-1
7,Kemba Walker,965,CHA,1,9,2011,Connecticut,2010-11,Connecticut,41,41,37.6,7.7,18.0,5.9,12.5,1.8,5.5,6.3,7.7,1.3,4.1,5.4,4.5,1.9,0.2,2.3,1.4,23.5,.428,.471,.330,.819,.543,.478,G,JR,kemba-walker-1
8,Mahmoud Abdul-Rauf,965,DEN,1,3,1990,Louisiana State,1988-89,Louisiana State,32,32,36.9,11.2,23.1,8.6,16.3,2.6,6.8,5.1,6.3,,,3.4,4.1,1.7,0.2,3.5,2.2,30.2,.486,.526,.389,.815,.579,.543,G,FR,mahmoud-abdul-rauf-1
9,J.J. Redick,964,ORL,1,11,2006,Duke,2005-06,Duke,36,36,37.1,8.4,17.9,4.5,8.7,3.9,9.2,6.1,7.1,0.2,1.8,2.0,2.6,1.4,0.1,2.5,1.5,26.8,.470,.521,.421,.863,.630,.578,G,SR,jj-redick-1
10,Dennis Hopson,958,NJN,1,3,1987,Ohio State,1986-87,Ohio State,33,33,35.1,10.2,19.8,8.2,14.9,2.0,4.8,6.5,8.0,,,8.2,3.6,2.2,0.6,2.8,2.3,29.0,.518,.550,.419,.814,.615,.569,G,SR,dennis-hopson-1
11,Glen Rice,949,MIA,1,4,1989,Michigan,1988-89,Michigan,37,37,34.0,9.8,17.0,7.1,11.8,2.7,5.2,3.4,4.0,,,6.3,2.3,1.1,0.3,2.2,2.0,25.6,.577,.604,.516,.832,.678,.656,F,SR,glen-rice-1
12,Justin Wright-Foreman,948,UTA,2,53,2019,Hofstra,2018-19,Hofstra,35,35,37.7,9.4,18.5,6.3,11.1,3.1,7.4,5.1,5.9,0.3,3.7,4.0,2.9,0.9,0.2,2.6,1.9,27.1,.511,.568,.425,.864,.637,.596,G,SR,justin-wright-foreman-1
13,Danny Manning,942,LAC,1,1,1988,Kansas,1987-88,Kansas,38,38,35.2,10.0,17.2,9.8,16.5,0.2,0.7,4.5,6.1,,,9.0,2.0,1.8,1.9,3.0,3.0,24.8,.583,.593,.346,.734,.617,.590,F,SR,danny-manning-1
14,Doug McDermott,934,DEN,1,11,2014,Creighton,2013-14,Creighton,35,35,33.7,9.4,17.9,6.7,11.8,2.7,6.1,5.1,5.9,1.6,5.3,7.0,1.6,0.2,0.1,1.8,1.9,26.7,.526,.567,.449,.864,.644,.603,F,SR,doug-mcdermott-1
