PLAYER,SALARY ($),SEASON
Michael Jordan,60429065,1996-1997
Horace Grant,29787479,1996-1997
Reggie Miller,22555639,1996-1997
Shaquille O'Neal,21480988,1996-1997
Gary Payton,20474506,1996-1997
David Robinson,19953220,1996-1997
Juwan Howard,19548221,1996-1997
Hakeem Olajuwon,19357751,1996-1997
Alonzo Mourning,18806391,1996-1997
Dennis Rodman,18044511,1996-1997
Dikembe Mutombo,16065630,1996-1997
Chris Webber,16039566,1996-1997
Otis Thorpe,14034620,1996-1997
Latrell Sprewell,14034620,1996-1997
Elden Campbell,14034620,1996-1997
Kevin Johnson,14034620,1996-1997
Danny Manning,13699794,1996-1997
Derrick Coleman,13511329,1996-1997
Anfernee Hardaway,13342914,1996-1997
Dale Davis,13048186,1996-1997
John Stockton,12029674,1996-1997
Clyde Drexler,11027201,1996-1997
Sean Elliott,10692375,1996-1997
Dino Radja,10652276,1996-1997
Antonio Davis,10425717,1996-1997
Shawn Bradley,10285371,1996-1997
Grant Hill,10074852,1996-1997
Larry Johnson,10032748,1996-1997
Tom Gugliotta,10024728,1996-1997
Allan Houston,10024728,1996-1997
A.C. Green,9725991,1996-1997
Vlade Divac,9459334,1996-1997
Charles Barkley,9413220,1996-1997
Karl Malone,9337032,1996-1997
Danny Ferry,9308963,1996-1997
Glenn Robinson,9302948,1996-1997
Christian Laettner,9022255,1996-1997
Steve Smith,9022255,1996-1997
Jason Kidd,8837800,1996-1997
Kenny Anderson,8370648,1996-1997
John Williams,8322529,1996-1997
Harvey Grant,8242332,1996-1997
Chris Dudley,8220277,1996-1997
Glen Rice,8023792,1996-1997
Rik Smits,8019783,1996-1997
Brian Shaw,8019783,1996-1997
Toni Kukoc,7939585,1996-1997
Jim Jackson,7819288,1996-1997
Ron Harper,7698991,1996-1997
Jamal Mashburn,7684957,1996-1997
Kendall Gill,7618793,1996-1997
Nick Anderson,7598744,1996-1997
Billy Owens,7564660,1996-1997
Vin Baker,7548620,1996-1997
Rony Seikaly,7522556,1996-1997
Isaiah Rider,7237854,1996-1997
Sherman Douglas,7205775,1996-1997
Mitch Richmond,7167681,1996-1997
Charles Smith,7131592,1996-1997
Tyrone Hill,6977211,1996-1997
Wayman Tisdale,6967186,1996-1997
Mark Price,6834860,1996-1997
Dana Barros,6816815,1996-1997
Bryant Stith,6816815,1996-1997
Donyell Marshall,6736617,1996-1997
Detlef Schrempf,6682484,1996-1997
Shawn Kemp,6616320,1996-1997
Clarence Weatherspoon,6616320,1996-1997
LaPhonso Ellis,6604291,1996-1997
Dee Brown,6516073,1996-1997
Stanley Roberts,6516073,1996-1997
Calbert Cheaney,6415826,1996-1997
Lionel Simmons,6403796,1996-1997
Olden Polynice,6295529,1996-1997
Loy Vaught,6215331,1996-1997
Mahmoud Abdul-Rauf,6215331,1996-1997
Sharone Wright,6215331,1996-1997
Joe Dumars,6165208,1996-1997
Bobby Hurley,6151173,1996-1997
Chris Gatling,6109069,1996-1997
Rod Strickland,6087015,1996-1997
Derrick McKey,6014837,1996-1997
Patrick Ewing,6014837,1996-1997
Jim McIlvaine,6014837,1996-1997
Dennis Scott,6014837,1996-1997
Clifford Robinson,5862461,1996-1997
Todd Day,5844416,1996-1997
Mark Jackson,5814342,1996-1997
Stojko Vrankovic,5814342,1996-1997
Ken Norman,5752189,1996-1997
Chris Mullin,5702065,1996-1997
Mookie Blaylock,5613848,1996-1997
Joe Smith,5601818,1996-1997
Luc Longley,5593798,1996-1997
Anthony Mason,5567734,1996-1997
Sam Perkins,5473501,1996-1997
Pooh Richardson,5455457,1996-1997
Robert Pack,5413353,1996-1997
Lamond Murray,5413353,1996-1997
Felton Spencer,5401323,1996-1997
Arvydas Sabonis,5293056,1996-1997
Hersey Hawkins,5220878,1996-1997
Charles Oakley,5212858,1996-1997
Chris Childs,5212858,1996-1997
Antonio McDyess,5102586,1996-1997
